#lambdas 	 spectra 
0.000000 	 0.000000 
1.000000 	 3567483632.000000 
2.000000 	 1402758814.000000 
3.000000 	 906990258.000000 
4.000000 	 1141669282.000000 
6.000000 	 982635291.000000 
9.000000 	 754722932.000000 
13.000000 	 651355627.000000 
19.000000 	 541262895.000000 
28.000000 	 404621326.000000 
40.000000 	 336889612.000000 
58.000000 	 275886786.000000 
84.000000 	 220439213.000000 
122.000000 	 174838863.000000 
177.000000 	 137681941.000000 
256.000000 	 112602865.000000 
370.000000 	 84529059.000000 
536.000000 	 67544002.000000 
775.000000 	 60384642.000000 
1122.000000 	 43446383.000000 
1624.000000 	 37776516.000000 
2350.000000 	 31321729.000000 
3402.000000 	 22787777.000000 
4923.000000 	 20916826.000000 
7124.000000 	 9545942.000000 
10311.000000 	 14190375.000000 
14922.000000 	 10422645.000000 
21595.000000 	 1766107.000000 
31252.000000 	 7314320.000000 
45228.000000 	 7349558.000000 
65454.000000 	 5892155.000000 
94726.000000 	 0.000000 
137088.000000 	 86268584563.000000 
