#lambdas 	 spectra 
0.000000 	 0.000000 
1.000000 	 145065.000000 
2.000000 	 70530.000000 
3.000000 	 42018.000000 
4.000000 	 71632.000000 
6.000000 	 78817.000000 
9.000000 	 81740.000000 
13.000000 	 88296.000000 
19.000000 	 97812.000000 
28.000000 	 70378.000000 
40.000000 	 85965.000000 
58.000000 	 156076.000000 
84.000000 	 87316.000000 
122.000000 	 70470.000000 
177.000000 	 8106.000000 
256.000000 	 69011.000000 
370.000000 	 121820.000000 
536.000000 	 144087.000000 
775.000000 	 224627.000000 
1122.000000 	 344004.000000 
1624.000000 	 424261.000000 
2350.000000 	 16082.000000 
3402.000000 	 22157.000000 
4923.000000 	 64844.000000 
7124.000000 	 173258.000000 
10311.000000 	 89289.000000 
14922.000000 	 3978649.000000 
21595.000000 	 120368.000000 
31252.000000 	 0.000000 
45228.000000 	 162675.000000 
65454.000000 	 270273.000000 
94726.000000 	 20714807.000000 
137088.000000 	 3033115.000000 
